原文	类型	译名	来源
Aomori	LOCATION	青森	世界地名翻译大辞典
Iwate	LOCATION	岩手	世界地名翻译大辞典
Miyagi	PERSON	宫木	世界人名翻译大辞典
Yamagata	LOCATION	山方〈茨城县〉	世界地名翻译大辞典
Fukushima	PERSON	福岛	世界人名翻译大辞典
Honshu	LOCATION	本州	英汉大词典
Gunma	LOCATION	群马	世界地名翻译大辞典
Chiba	LOCATION	千叶	世界地名翻译大辞典
Kanagawa	LOCATION	神奈川县	英汉大词典
Yokohama	LOCATION	横滨	世界地名翻译大辞典
Toyama	PERSON	刀山	世界人名翻译大辞典
Ishikawa	PERSON	石川	世界人名翻译大辞典
Fukui	PERSON	二位	世界人名翻译大辞典
Yamanashi	LOCATION	山梨	世界地名翻译大辞典
Nagano	LOCATION	长野	世界地名翻译大辞典
Shizuoka	LOCATION	静冈	世界地名翻译大辞典
Aichi	LOCATION	爱知	世界地名翻译大辞典
Gifu	LOCATION	岐阜	世界地名翻译大辞典
Alps	LOCATION	阿尔卑斯山脉	世界地名翻译大辞典
Mie	PERSON	三边	世界人名翻译大辞典
Kyoto	LOCATION	京都	英汉大词典
Osaka	LOCATION	小坂	世界地名翻译大辞典
Nara	LOCATION	纳拉	世界地名翻译大辞典
Wakayama	LOCATION	和歌山	世界地名翻译大辞典
Kobe	PERSON	儿部	世界人名翻译大辞典
Shimane	LOCATION	岛根	世界地名翻译大辞典
Okayama	LOCATION	冈山	世界地名翻译大辞典
Yamaguchi	PERSON	亚马古基	世界人名翻译大辞典
Kagawa	PERSON	可川	世界人名翻译大辞典
Tokushima	LOCATION	德岛	世界地名翻译大辞典
Kochi	PERSON	小知	世界人名翻译大辞典
Kyushu	LOCATION	九州	英汉大词典
Fukuoka	LOCATION	福冈	世界地名翻译大辞典
Nagasaki	LOCATION	长崎	世界地名翻译大辞典
Oita	LOCATION	大分	英汉大词典
Kumamoto	LOCATION	熊本	世界地名翻译大辞典
Miyazaki	PERSON	宫崎(姓)	世界人名翻译大辞典
Kagoshima	LOCATION	鹿儿岛	世界地名翻译大辞典
Island	LOCATION	艾兰	世界地名翻译大辞典
Tohoku	PERSON	东北	Gemini
Chubu	LOCATION	中部	Gemini
Hyogo	LOCATION	兵库	Gemini
Chugoku	PERSON	中国	Gemini
Islands	LOCATION	群岛	Gemini
Yaeyama Islands	LOCATION	八重山群岛	Gemini
